date,rf,mkt_rf,smb,hml,mom
2019-11-04,0.00000308,-0.00029589,0.00012848,-0.00375384,0.00044177
2019-11-05,0.00000313,0.00304640,0.00074360,0.00336818,0.00111762
2019-11-06,0.00000476,-0.00355692,-0.00066187,-0.01182790,-0.00057859
2019-11-07,0.00000323,0.00069553,-0.00739692,-0.00053197,-0.00099886
2019-11-10,0.00001244,-0.00293608,0.00164345,-0.00092340,-0.00510745
2019-11-11,0.00000349,-0.00762410,-0.00148304,0.00200669,-0.01321463
2019-11-12,0.00000353,-0.00245566,0.00226861,0.00084714,0.00388472
2019-11-13,0.00000238,0.00209621,-0.00345359,-0.00110200,0.00984356
2019-11-14,0.00000362,0.00543915,-0.00101208,-0.00528607,0.00262493
2019-11-17,0.00001098,0.00750203,0.00307157,-0.00354084,0.00564042
2019-11-18,0.00000380,-0.00262196,0.00287285,-0.00237817,-0.00484227
2019-11-19,0.00000385,0.00638616,0.00076336,0.00367892,0.00834373
2019-11-20,0.00000520,-0.00202035,0.00053384,-0.00403365,0.00116087
2019-11-21,0.00000395,-0.00286254,0.00016735,0.00297535,0.00556133
2019-11-24,0.00001600,0.00499941,0.00636366,0.00021224,0.00129103
2019-11-25,0.00000417,0.01075896,0.00499869,-0.00431232,-0.00577956
2019-11-26,0.00000423,0.00461004,-0.00876221,-0.00208069,0.00918861
2019-11-27,0.00000429,0.00044125,0.00219822,0.00279292,0.00066780
2019-11-28,0.00000290,0.00447910,-0.00150019,0.00377764,-0.00500697
2019-12-01,0.00001324,-0.00377609,-0.00092522,-0.00212635,-0.00129452
2019-12-02,0.00000462,-0.00689433,0.00124633,-0.00037137,0.00079722
2019-12-03,0.00000313,-0.01097483,-0.00497956,-0.00074395,-0.00820851
2019-12-04,0.00000317,0.00612996,-0.00157669,-0.00383907,0.00321678
2019-12-05,0.00000484,-0.00125025,-0.00346475,-0.00152740,0.00659252
2019-12-08,0.00001412,0.00861305,-0.00203801,0.00202225,0.00446694
2019-12-09,0.00000582,0.00095733,0.00463700,0.00218314,0.01403290
2019-12-10,0.00000471,-0.00063908,0.00331455,0.00921161,0.00340602
2019-12-11,0.00000476,0.00196504,0.00332270,-0.00183123,-0.00881941
2019-12-12,0.00000362,0.00092909,0.00387712,-0.00318918,-0.00217320
2019-12-15,0.00001830,-0.00105316,-0.00071252,0.00643195,0.00945715
2019-12-16,0.00000506,-0.00212454,0.00046359,-0.00075582,-0.00259687
2019-12-17,0.00000513,-0.00407019,0.00123612,-0.00282552,0.01498491
2019-12-18,0.00000390,-0.00103258,0.00097461,-0.00599667,0.00055070
2019-12-19,0.00000395,-0.00416761,0.00563089,0.00319909,-0.00054054
2019-12-22,0.00001600,0.00298162,-0.00143857,0.00238357,0.00614262
2019-12-23,0.00000556,-0.00229743,0.00240400,-0.00041200,-0.00112244
2019-12-24,0.00000704,0.00608849,0.00113167,-0.00352461,-0.00030483
2019-12-25,0.00000714,0.00041253,0.00148756,0.00379563,0.00098236
2019-12-26,0.00000580,-0.00139185,0.00818053,0.00249069,0.00209197
2019-12-29,0.00001324,-0.00040776,0.00092679,0.00297144,-0.00397148
2019-12-30,0.00000462,-0.00274781,0.00344423,-0.00160224,-0.00979160
2019-12-31,0.00000625,0.00740870,0.00126066,-0.00453070,-0.01161291
2020-01-01,0.00000476,0.00504159,0.00583933,-0.00347335,0.00243740
2020-01-02,0.00000484,0.00546144,0.00099043,-0.00255856,-0.00847021
2020-01-05,0.00000984,-0.00391362,0.00576377,-0.00201058,-0.00153936
2020-01-06,0.00000328,-0.00393598,-0.00130696,0.00674746,0.00734921
